userid,movieid,rating
1,63,3
1,323,5
1,3703,3
1,23,5
1,1067,3
1,3705,3
3,1669,5
3,60,4
1,319,5
1,560,3
1,1673,4
3,502,5
1,406,3
3,53,5
1,111,5
1,4,5
1,156,5
1,434,4
1,254,3
1,369,4
1,98,5
1,200,5
1,53,5
1,60,5
1,25859,3
1,2992,3
1,19065,4
1,25790,2
1,99,5
1,209,5
1,222,4
1,310,5
1,866,4
1,1709,3
2,140,4
2,2645,4
2,26631,5
2,933,5
1,178,5
2,360,2
1,472,5
1,648,4
1,1057,4
1,933,5
1,17709,2
1,47,4
1,70,2
1,160,4
1,134,3
1,698,3
1,413,4
3,171,4
3,113,5
3,408,4
3,859,5
3,2149,4
3,9,4
3,404,3
3,677,4
3,624,4
3,318,-1
3,221,4
3,33,5
3,4,4
3,111,4
3,310,4
3,222,5
3,124,4
3,695,4
3,1501,4
3,884,4
3,504,3
3,287,4
3,67,4
3,50,4
3,360,4
3,648,4
3,25859,4
4,159,5
4,677,5
4,1491,5
4,280,3
4,417,2
4,130,3
4,212,1
4,644,2
4,260,2
4,347,4
4,496,1
4,630,2
4,801,2
4,103,2
4,447,2
4,23,1
4,201,2
4,340,4
4,349,2
4,697,4
4,370,4
4,331,2
4,283,3
4,824,3
4,854,3
4,639,2
4,793,1
4,916,1
4,902,2
4,85,4
4,548,2
598,4323,5
4,411,3
4,633,4
4,600,1
4,666,-3
4,620,-2
4,71,1
4,1019,3
4,413,4
3,843,3
3,447,-2
4,67,4
3,61,4
3,201,1
3,409,3
3,445,4
4,310,4
4,527,1
3,997,3
4,709,3
4,685,-1
3,10,-1
3,432,3
3,1340,5
3,786,-3
3,698,4
4,221,4
4,698,4
4,478,4
3,118,3
3,873,2
3,989,3
3,227,4
4,463,3
4,7,4
3,216,4
3,603,4
4,593,1
4,537,5
4,795,1
3,653,3
4,686,3
4,786,-2
4,58,1
4,179,1
4,336,-2
4,859,2
4,467,1
4,4,5
4,374,-2
4,483,1
4,594,4
4,156,4
4,51,5
4,174,5
4,188,-2
4,137,3
4,367,3
4,398,3
4,136,2
4,198,5
4,675,3
4,150,3
4,214,3
4,486,4
4,518,4
4,218,4
4,104,2
4,261,-1
4,830,-2
4,24,5
4,47,5
598,2107,5
4,346,2
4,74,4
4,1408,1
4,297,3
4,387,5
4,845,5
4,748,-2
4,302,-2
1,136,2
4,603,5
4,27,5
4,122,1
1,180,1
4,391,2
1,1455,3
1,159,3
1,355,3
1,56,5
1,572,3
1,84,3
4,995,1
4,702,2
1,405,4
4,1009,-3
4,1150,1
4,857,3
4,363,4
4,98,2
4,227,4
4,317,1
4,369,2
4,366,2
4,161,-2
4,225,4
4,972,-3
4,973,3
4,1360,1
4,38,5
4,56,5
4,60,3
4,26,1
4,244,2
4,514,3
4,530,2
4,773,5
4,565,1
4,189,5
3,773,4
3,7,2
4,380,-2
3,1491,3
3,347,-1
4,87,3
3,697,4
4,178,1
4,315,3
4,396,-2
4,88,4
4,125,4
3,830,3
4,121,3
4,175,-1
3,972,-1
4,348,1
4,303,-3
4,571,1
4,10,2
3,56,3
4,308,2
4,723,2
4,187,4
4,430,-2
4,598,2
4,462,3
4,827,-1
4,242,3
4,551,2
4,287,4
4,1201,2
4,1217,3
4,505,2
1,85,3
1,145,1
1,196,5
1,299,1
4,203,-2
4,163,5
4,176,1
1,26680,5
1,27,5
1,38,5
1,51,5
4,160,3
1,174,3
1,189,3
4,610,1
1,198,3
1,387,3
1,677,4
1,7,5
1,67,4
1,88,4
1,125,3
1,187,5
1,218,4
1,340,4
1,347,4
1,486,5
1,252,4
1,481,4
4,1067,-4
4,580,2
1,420,4
1,229,4
4,434,3
1,303,3
1,416,3
1,411,3
4,771,2
4,648,1
1,52,4
1,92,1
1,110,3
4,433,-2
4,1149,-1
4,843,3
4,445,1
4,271,-1
4,1624,1
4,572,2
4,388,1
4,952,-2
4,157,3
4,1059,3
4,1046,1
5,18422,5
4,420,-2
4,520,4
4,874,2
4,736,-2
4,737,2
4,808,1
5,26684,4
4,578,1
4,304,1
4,484,1
4,355,2
4,576,-2
4,404,2
1,297,1
4,804,3
5,1343,5
5,2093,3
4,78,2
5,6516,4
4,299,2
4,166,2
4,232,-3
4,52,1
4,1114,1
4,143,-3
5,41,-2
5,187,3
4,635,2
3,686,4
5,394,5
4,570,3
3,804,3
4,41,4
5,46,4
4,200,2
4,109,3
5,697,2
4,456,-2
4,119,5
3,187,2
4,222,1
5,808,5
4,522,1
3,1292,3
3,537,3
5,872,-1
4,781,3
4,158,3
4,90,2
4,274,1
4,145,2
3,1325,2
4,196,5
3,2092,4
4,472,2
4,637,-2
3,109,4
4,655,-2
3,160,4
3,434,3
3,390,3
3,651,4
3,644,2
3,620,2
3,1007,3
3,1257,3
3,398,2
3,365,2
3,429,3
3,229,3
3,41,2
5,426,4
3,71,-1
5,178,5
3,1011,2
5,5,-4
5,652,2
3,503,4
5,130,5
4,126,2
5,10,2
4,1307,-2
4,539,2
3,119,3
5,340,3
5,563,-4
5,304,-2
4,390,4
5,87,-1
3,174,4
4,544,2
3,145,2
4,711,2
5,408,3
5,522,4
3,196,4
5,410,-1
5,398,4
3,1607,3
4,963,1
3,6877,3
3,130,3
3,486,4
3,4584,4
4,142,5
3,2226,4
5,551,-1
3,47,3
5,590,4
4,474,2
3,12859,3
4,264,4
4,123,1
3,496,4
3,363,3
4,193,4
3,340,4
4,84,2
4,217,2
4,536,1
4,111,5
4,342,2
3,273,4
4,1163,2
5,527,4
5,537,3
4,141,-2
5,685,2
3,870,3
5,1088,1
601,695,5
3,218,3
3,518,2
5,2577,3
3,84,1
5,2772,3
3,200,1
3,342,2
3,212,2
3,593,2
3,578,1
5,456,2
3,2772,3
5,1119,2
5,1332,1
5,1355,1
5,1607,5
5,1634,4
5,26687,3
5,4982,3
5,566,2
5,594,3
5,980,2
5,156,3
5,348,3
5,864,2
5,573,-5
5,296,-3
5,390,3
5,31,-2
5,121,2
5,135,3
5,633,3
5,183,2
5,226,2
5,218,4
5,724,1
5,265,-4
5,742,2
5,486,3
5,817,2
5,889,3
5,776,2
5,317,2
5,382,2
5,404,4
5,882,2
5,927,-4
5,981,-4
5,1108,1
5,1179,-1
5,1755,3
3,1634,4
3,742,2
3,304,2
3,396,2
3,693,4
3,772,2
3,1114,4
3,1278,2
3,1722,5
3,1738,3
3,684,2
3,175,2
3,796,2
3,288,3
3,63,3
3,151,2
3,546,3
3,170,-1
3,44,3
3,134,3
3,88,3
3,633,2
3,565,2
3,1067,2
3,1907,-1
3,1925,2
3,3003,3
3,4373,3
3,4960,2
6,205,3
6,117,3
6,363,4
6,383,3
6,346,-1
2,267,5
2,301,5
2,804,5
6,821,-3
2,1243,5
6,808,5
6,722,-1
6,118,2
2,1273,2
6,539,3
6,393,2
6,71,3
6,119,3
6,23,4
2,1695,2
2,2003,2
6,41,4
6,411,4
2,4270,4
6,99,3
2,169,5
2,580,1
2,561,2
2,1225,1
2,905,3
2,2019,1
2,90,2
2,397,3
2,843,1
2,1040,5
2,1126,4
2,734,-1
2,2698,1
2,6374,2
2,7182,2
2,16460,5
2,813,5
3,757,4
2,27,5
2,38,5
2,51,5
2,56,4
2,4,3
2,24,3
2,347,5
2,150,1
2,109,5
601,4436,5
2,160,5
2,367,5
2,98,3
2,166,3
2,200,-5
2,23,2
2,222,4
2,496,5
2,396,4
1,379,3
6,398,-1
6,303,3
6,360,4
6,4,1
6,124,3
6,443,3
6,177,-1
6,534,1
6,35,1
6,714,3
6,545,2
6,136,3
6,1088,3
6,195,2
6,365,2
6,478,2
6,20,1
6,40,3
6,310,3
6,434,3
6,527,2
6,920,5
6,325,3
6,153,3
6,746,-1
6,45,4
6,318,4
6,332,3
6,685,1
6,483,3
6,317,3
1,804,4
6,638,5
6,304,3
6,612,2
6,472,3
6,550,4
6,770,-1
6,9,5
6,774,2
6,590,4
1,496,4
1,1040,4
1,396,4
1,1126,4
1,2003,3
1,150,3
1,580,3
1,9,4
1,109,3
1,124,4
1,171,4
1,1052,5
1,445,4
1,503,4
1,651,3
1,757,4
1,884,4
1,2092,3
1,119,3
1,130,5
1,44,4
1,288,2
1,390,3
1,409,4
1,870,3
1,997,3
1,1292,2
1,1738,4
1,41,3
1,151,1
1,175,3
1,212,3
1,342,4
1,398,-3
1,565,-2
1,593,3
1,620,4
1,644,4
1,684,-1
6,160,5
6,757,5
6,864,5
1,742,1
1,772,2
1,1011,-1
1,1278,2
1,1325,1
1,1925,3
1,318,1
1,170,-1
1,71,-1
1,10,-1
1,578,-1
1,1907,3
1,447,-1
1,363,3
1,590,-1
1,808,5
1,153,4
1,205,2
1,304,1
1,325,3
1,383,5
1,539,3
1,1088,3
1,118,1
1,195,1
1,393,3
1,527,-1
1,35,4
1,685,3
1,821,2
1,3926,3
1,26625,5
1,135,2
1,1494,3
1,628,-2
1,315,1
1,875,1
1,987,-2
1,1893,2
1,7183,-3
1,4859,-3
1,3333,3
1,3214,2
1,5366,3
1,26639,3
1,3107,2
7,25834,5
7,25859,5
7,25813,5
7,1510,5
7,2992,4
7,46,4
7,53,4
7,85,1
7,71,3
7,70,1
7,327,2
7,115,3
7,374,5
7,460,2
7,696,2
7,152,4
7,150,3
7,139,3
7,538,4
7,382,2
7,387,2
7,108,4
7,38,2
7,487,3
7,77,-1
7,153,1
7,271,2
7,9,4
7,167,5
7,613,1
7,590,2
7,821,2
7,41,3
7,313,1
7,122,1
1,182,2
7,56,3
7,208,4
7,1007,3
7,1239,3
7,432,2
7,160,5
7,1254,1
7,347,4
1,1510,4
7,223,1
7,757,3
7,691,2
7,35,2
7,874,1
7,931,2
7,943,1
7,366,3
7,620,4
7,813,4
7,1,1
7,494,2
7,283,1
7,524,5
7,796,2
7,426,1
7,258,3
7,511,3
7,659,1
7,427,3
7,109,5
7,98,5
7,658,2
7,688,2
7,995,-1
7,215,2
7,336,1
7,297,2
7,589,2
7,902,1
7,930,1
7,81,2
7,923,3
7,328,1
7,90,3
7,913,2
7,474,3
7,668,2
7,522,3
7,300,2
7,26,2
7,920,4
7,447,3
7,409,5
7,912,3
7,92,3
7,396,2
7,43,-1
7,120,4
7,794,-1
7,816,2
7,224,2
7,24,4
3,98,3
3,115,2
3,35,3
3,300,2
3,223,2
3,43,-1
2,1889,2
2,2361,5
2,677,5
2,1901,5
2,1733,5
2,3144,1
2,10025,1
2,208,1
2,258,5
2,560,1
2,772,1
2,427,5
2,1321,3
2,44,4
2,519,5
2,1478,5
2,502,2
2,371,-1
2,273,5
8,88,4
8,105,4
8,1347,4
8,310,4
8,1816,5
8,445,4
8,90,4
8,3837,5
8,26911,4
8,2391,4
8,725,4
8,2361,4
8,644,4
8,18642,4
8,1146,4
8,26909,4
8,648,2
8,27,5
8,38,5
8,51,5
8,109,5
8,137,4
8,160,5
8,169,4
8,367,5
8,301,5
8,273,5
8,24,5
8,156,5
8,1278,4
8,1163,5
8,44,5
8,16460,5
8,56,5
8,4,5
8,98,5
8,1126,5
8,396,5
8,23,3
8,905,3
8,1273,5
8,7182,3
8,150,2
8,208,3
8,843,3
8,560,2
8,200,4
8,319,4
8,16892,4
12,90,5
12,536,4
13,53,3
13,113,4
